billnum,material,rpa_sat,qty
900391394,19657,923.00,1
900392150,107604955,55.00,1
900396044,662668,82.00,1
900396044,724390,212.00,1
900400820,17615,1942.00,2
900400820,17618,41.00,1
900400820,20404,4100.00,1
900400820,25392,17.00,1
900402623,19372,353.00,1
900402623,21017,28.00,1
900402623,25977,26.00,1
900402623,26703,42.00,1
900402623,30618,581.00,1
900402623,34391,711.00,3
900402623,35400,12.00,1
900402623,55147,91.00,1
900407270,1000004275,47.00,1
900407270,1000004292,71.00,1
900407270,1000004421,438.00,2
900411774,17617,27.00,1
900412698,1000036049,168.00,3
900412698,1000036077,91.00,1
900412698,1000036131,51.00,1
900412698,1000036137,146.00,2
900421200,105279571,112.00,4
900421200,106729705,1424.00,2
900422381,7000009745,97.00,1
900424050,1000017392,44.00,1
900424050,1000017394,49.00,1
900424051,1000047945,1468.00,4
900424051,1000047946,8.00,1
900424051,1000047953,38.00,1
900424051,1000047963,3769.00,1
900424526,1000018963,402.00,1
900424526,1000018964,34.00,1
900424526,1000019032,801.00,3
900424526,1000019047,84.00,1
900424526,1000019048,1500.00,1
900424813,1000015037,92.00,1
900424813,1000015044,3736.00,4
900424813,1000015048,474.00,1
900424813,1000015351,27.00,3
900425402,1000038162,469.00,1
900425402,1000038227,62.00,1
900425402,1000038231,74.00,1
900425402,1000038235,99.00,1
900425402,1000038237,44.00,1
900425402,1000038244,86.00,1
900425402,1000038265,422.00,1
900425402,1000038314,20.00,2
900425402,1000038317,350.00,1
900425402,1000038335,92.00,1
900425402,1000038416,80.00,1
900425402,1000038436,54.00,3
900425402,1000038667,252.00,3
900427645,1000035386,303.00,1
900428875,106773781,346.00,1
900429714,1000033419,53.00,1
900429714,1000033442,61.00,1
900429722,1000020917,760.00,2
900429722,1000030149,98.00,2
900429722,1000034686,87.00,1
900429722,1000043792,8668.00,2
900429722,1000045848,40.00,1
900429722,1000046345,809.00,1
900429722,1000047878,284.00,4
900429722,1000048448,232.00,1
900429722,105279571,28.00,1
900429722,106489772,544.00,1
900429722,107439970,76.00,1
900430188,1000023977,186.00,2
900430188,106912745,98.00,1
900431416,1000048391,4086.00,3
900431416,1000048613,82.00,1
900433396,106565798,327.00,1
900433396,106706108,77.00,1
900433396,106706116,240.00,3
900433396,106748711,97.00,1
900434234,1000044348,1491.00,3
900434234,1000044354,24.00,1
900434234,1000044492,48.00,1
900435579,2027276004,423.00,3
900435579,2027289001,39.00,1
900437572,1000036827,231.00,1
900437572,1000036828,2.00,1
900438717,2027215001,55.00,1
900438717,2027216001,35.00,1
900438726,646,940.00,2
900438962,1000018959,136.00,2
900438962,1000040932,77.00,1
900438962,2025334003,72.00,1
900438962,2026703003,3012.00,1
900438962,2027827002,280.00,1
900438962,2029513003,495.00,1
900438962,2030026006,62.00,1
900438962,2030067001,62.00,1
900438962,2031375003,3953.00,1
900439071,20404,4100.00,1
900439071,20704,300.00,3
900439071,2486,40.00,2
900439071,25901,25.00,1
900439255,107969217,37.00,1
900439256,662670,523.00,1
900439256,817851,20.00,1
900439258,1000026913,55.00,1
900439259,19067,66.00,1
900439259,19372,353.00,1
900439259,19657,923.00,1
900439259,25390,41.00,1
900439304,106295855,29.00,1
900439424,1000049179,77.00,1
900439424,1000049185,14.00,1
900439968,1000038109,153.00,1
900439968,1000038131,314.00,1
900439968,1000038154,27.00,1
900439968,1000038162,469.00,1
900439975,1000045077,168.00,2
900439975,1000045093,59.00,1
900439975,1000045099,93.00,1
900439975,1000045156,157.00,1
900439975,1000045188,1488.00,4
900439975,1000045189,93.00,1
900439975,1000045192,12.00,1
900439975,1000045280,29.00,1
900439975,1000045301,51.00,3
900439975,1000045372,63.00,1
900439975,1000045387,372.00,1
900439975,1000045388,19.00,1
900439975,1000045428,13.00,1
900439975,1000045469,52.00,1
